___,__TTM,__Y2021,__Y2020,__Y2019,__Y2018
Total Revenue,"18,160,000","18,160,000","15,848,000","14,125,000","13,197,000"
Operating Revenue,"18,160,000","18,160,000","15,848,000","14,125,000","13,197,000"
Cost of Revenue,"13,368,000","13,368,000","11,712,000","10,274,000","9,627,000"
Gross Profit,"4,792,000","4,792,000","4,136,000","3,851,000","3,570,000"
Operating Expense,"2,732,000","2,732,000","2,378,000","2,286,000","2,159,000"
Selling General and Administrative,"2,452,000","2,452,000","2,257,000","2,110,000","1,973,000"
General & Administrative Expense,"1,256,000","1,256,000","1,144,000","987,000","930,000"
Selling & Marketing Expense,"1,196,000","1,196,000","1,113,000","1,123,000","1,043,000"
Other Operating Expenses,"194,000","194,000","150,000","117,000","29,000"
Operating Income,"2,060,000","2,060,000","1,758,000","1,565,000","1,411,000"
Net Non Operating Interest Income Expense,"-157,000","-157,000","-144,000","-62,000","-48,000"
Interest Income Non Operating,"24,000","24,000","48,000","62,000","49,000"
Interest Expense Non Operating,"178,000","178,000","178,000","114,000","88,000"
Total Other Finance Cost,"3,000","3,000","14,000","10,000","9,000"
Pretax Income,"1,680,000","1,680,000","1,355,000","1,354,000","1,171,000"
Tax Provision,"526,000","526,000","400,000","502,000","447,000"
Net Income Common Stockholders,"1,157,000","1,157,000","957,000","856,000","730,000"
Net Income,"1,157,000","1,157,000","957,000","856,000","730,000"
Net Income Including Non-Controlling Interests,"1,159,000","1,159,000","955,000","852,000","724,000"
Net Income Continuous Operations,"1,159,000","1,159,000","955,000","852,000","724,000"
Minority Interests,"-2,000","-2,000","2,000","4,000","6,000"
Otherunder Preferred Stock Dividend,0,0,0,0,0
Diluted NI Available to Com Stockholders,"1,157,000","1,157,000","957,000","856,000","730,000"
Basic EPS,-,-,5.71,5.15,4.37
Diluted EPS,-,-,5.55,5,4.25
Basic Average Shares,-,-,"167,620","166,171","167,088"
Diluted Average Shares,-,-,"172,556","171,048","171,697"
Total Operating Income as Reported,"1,839,000","1,839,000","1,502,000","1,433,000","1,251,000"
Rent Expense Supplemental,-,-,"185,000","176,000","366,000"
Total Expenses,"16,100,000","16,100,000","14,090,000","12,560,000","11,786,000"
Net Income from Continuing & Discontinued Operation,"1,157,000","1,157,000","957,000","856,000","730,000"
Normalized Income,"1,306,766","1,306,766","1,135,365","930,222","840,622"
Interest Income,"24,000","24,000","48,000","62,000","49,000"
Interest Expense,"178,000","178,000","178,000","114,000","88,000"
Net Interest Income,"-157,000","-157,000","-144,000","-62,000","-48,000"
EBIT,"1,858,000","1,858,000","1,533,000","1,468,000","1,259,000"
EBITDA,"2,530,000",-,-,-,-
Reconciled Cost of Revenue,"13,368,000","13,368,000","11,712,000","10,274,000","9,627,000"
Reconciled Depreciation,"672,000","672,000","649,000","545,000","302,000"
Net Income from Continuing Operation Net Minority Interest,"1,157,000","1,157,000","957,000","856,000","730,000"
Total Unusual Items Excluding Goodwill,"-218,000","-218,000","-253,000","-118,000","-179,000"
Total Unusual Items,"-218,000","-218,000","-253,000","-118,000","-179,000"
Normalized EBITDA,"2,748,000","2,748,000","2,435,000","2,131,000","1,740,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-68,234","-68,234","-74,635","-43,778","-68,378"
,,,,,
Total Assets,,"24,033,000","21,954,000","18,135,000","16,498,000"
Current Assets,,"8,999,000","7,839,000","6,563,000","6,154,000"
"Cash, Cash Equivalents & Short Term Investments",,"3,514,000","3,174,000","2,674,000","2,189,000"
Cash And Cash Equivalents,,"3,129,000","2,836,000","2,461,000","2,006,000"
Cash,,"1,478,000","915,000","541,000","530,000"
Cash Equivalents,,"1,651,000","1,921,000","1,920,000","1,476,000"
Other Short Term Investments,,"385,000","338,000","213,000","183,000"
Prepaid Assets,,"257,000","242,000","143,000","226,000"
Current Deferred Assets,,"117,000","102,000","83,000","92,000"
Hedging Assets Current,,"102,000","68,000","73,000","74,000"
Other Current Assets,,"67,000","91,000","40,000","46,000"
Total non-current assets,,"15,034,000","14,115,000","11,572,000","10,344,000"
Net PPE,,"1,703,000","1,692,000","1,500,000","785,000"
Gross PPE,,"3,802,000","3,452,000","3,052,000","1,961,000"
Properties,,0,0,0,"939,000"
Land And Improvements,,"2,353,000","2,161,000","1,880,000",-
Buildings And Improvements,,-,-,"961,000",-
Machinery Furniture Equipment,,"1,017,000","888,000","813,000","680,000"
Other Properties,,"432,000","403,000","359,000","342,000"
Accumulated Depreciation,,"-2,099,000","-1,760,000","-1,552,000","-1,176,000"
Goodwill And Other Intangible Assets,,"11,636,000","10,895,000","8,307,000","8,128,000"
Goodwill,,"10,633,000","9,795,000","7,662,000","7,431,000"
Other Intangible Assets,,"1,003,000","1,100,000","645,000","697,000"
Financial Assets,,"75,000","32,000","33,000","20,000"
Non Current Prepaid Assets,,"161,000","163,000","128,000","120,000"
Defined Pension Benefit,,"105,000",-,-,-
Other Non Current Assets,,"54,000","30,000","29,000","39,000"
Total Liabilities Net Minority Interest,,"15,554,000","15,839,000","9,716,000","9,019,000"
Current Liabilities,,"6,517,000","5,975,000","5,120,000","4,230,000"
Current Provisions,,"140,000","122,000","99,000","91,000"
Current Debt And Capital Lease Obligation,,"361,000","1,238,000","938,000","83,000"
Current Debt,,"87,000","951,000","717,000","44,000"
Current Capital Lease Obligation,,"274,000","287,000","221,000","39,000"
Other Current Liabilities,,"175,000","124,000","83,000","107,000"
Total Non Current Liabilities Net Minority Interest,,"9,037,000","9,864,000","4,596,000","4,789,000"
Long Term Provisions,,"341,000","337,000","17,000","19,000"
Long Term Debt And Capital Lease Obligation,,"7,281,000","7,808,000","3,156,000","3,274,000"
Long Term Debt,,"6,654,000","7,127,000","2,564,000","3,233,000"
Long Term Capital Lease Obligation,,"627,000","681,000","592,000","41,000"
Other Non Current Liabilities,,"466,000","417,000","192,000","305,000"
Total Equity Gross Minority Interest,,"8,479,000","6,115,000","8,419,000","7,479,000"
Stockholders' Equity,,"8,467,000","6,103,000","8,424,000","7,480,000"
Capital Stock,,"1,379,000","1,350,000","1,355,000","1,338,000"
Common Stock,,"1,379,000","1,350,000","1,355,000","1,338,000"
Additional Paid in Capital,,"3,609,000","3,050,000","3,150,000","2,979,000"
Retained Earnings,,"3,479,000","1,703,000","3,919,000","3,163,000"
Minority Interest,,"12,000","12,000","-5,000","-1,000"
Total Capitalization,,"15,121,000","13,230,000","10,988,000","10,713,000"
Common Stock Equity,,"8,467,000","6,103,000","8,424,000","7,480,000"
Capital Lease Obligations,,"901,000","968,000","813,000","80,000"
Net Tangible Assets,,"-3,169,000","-4,792,000","117,000","-648,000"
Working Capital,,"2,482,000","1,864,000","1,443,000","1,924,000"
Invested Capital,,"15,208,000","14,181,000","11,705,000","10,757,000"
Tangible Book Value,,"-3,169,000","-4,792,000","117,000","-648,000"
Total Debt,,"7,642,000","9,046,000","4,094,000","3,357,000"
Net Debt,,"3,612,000","5,242,000","820,000","1,271,000"
Share Issued,,"172,392","168,785","169,345","167,294"
Ordinary Shares Number,,"172,005","168,448","169,099","167,089"
Treasury Shares Number,,386.045,336.656,246.78,205
,,,,,
Operating Cash Flow,"2,581,000","2,581,000","1,661,000","1,794,000","1,396,000"
Investing Cash Flow,"-678,000","-678,000","-1,714,000","-868,000","-728,000"
Financing Cash Flow,"-1,746,000","-1,746,000","562,000","-468,000","-611,000"
End Cash Position,"3,119,000","3,119,000","2,828,000","2,450,000","2,004,000"
Changes in Cash,"157,000","157,000","509,000","458,000","57,000"
Effect of Exchange Rate Changes,"134,000","134,000","-131,000","-12,000","-41,000"
Beginning Cash Position,"2,828,000","2,828,000","2,450,000","2,004,000","1,988,000"
Capital Expenditure,"-266,000","-266,000","-206,000","-222,000","-236,000"
Issuance of Capital Stock,"587,000","587,000","277,000","253,000","230,000"
Issuance of Debt,"137,000","137,000","9,308,000","430,000","525,000"
Repayment of Debt,"-1,498,000","-1,498,000","-6,273,000","-448,000","-592,000"
Repurchase of Capital Stock,"-197,000","-197,000","-514,000",,"-483,000"
Free Cash Flow,"2,315,000","2,315,000","1,455,000","1,572,000","1,160,000"
